"","logFC","logCPM","F","PValue","FDR","Population"
"NOP58",0.268803009289273,7.7640759286266,8.29823991082848,0.00652050179671623,0.0158355043634537,"CD8T_LOMGlow_1"
"GLG1",0.268663893923381,7.95808901332869,10.1785288001995,0.00286613734155203,0.00761059219386652,"CD8T_LOMGlow_1"
"AKAP13",-0.26775704742242,8.53981378377093,12.4913241662557,0.00110336835339589,0.00333140560755053,"CD8T_LOMGlow_1"
"DNTTIP2",-0.266087978989835,7.23549569710126,7.79453046515349,0.00819233482507199,0.0192673859645302,"CD8T_LOMGlow_1"
"HIGD2A",0.265592808948061,9.18420740947298,12.9489463156576,0.000919444443026586,0.00284191918753672,"CD8T_LOMGlow_1"
"PTPRA",-0.264018831585034,7.58794736307835,6.07129912501995,0.0184322337975938,0.0392217872917505,"CD8T_LOMGlow_1"
"GSTK1",-0.26396418778977,9.21522267872881,8.55903872114429,0.00580189694101061,0.0142675578863846,"CD8T_LOMGlow_1"
"MBD2",-0.263746539452196,7.40564990268355,9.11608090042371,0.00453514770646189,0.0115709151923432,"CD8T_LOMGlow_1"
"HSP90AA1",-0.263686957995945,9.67993145727245,9.61409212626052,0.00365110395386007,0.00951721097306191,"CD8T_LOMGlow_1"
"PNPLA2",0.263582469354063,7.70966846151141,8.13969275441375,0.00700343897683125,0.0167227153584184,"CD8T_LOMGlow_1"
"NDUFA4",0.263103250602933,9.16921033868886,13.337050940229,0.000788938154069022,0.00251053874795973,"CD8T_LOMGlow_1"
"CNIH1",0.26296095266951,6.94798705448056,6.35319106276348,0.016086574641459,0.0348951494302938,"CD8T_LOMGlow_1"
"RHOF",-0.262646339682442,7.6753431324665,10.042590873157,0.00303713748001833,0.0080237888830214,"CD8T_LOMGlow_1"
"CAMK2D",0.260023919232168,6.83793322287567,5.73351070925724,0.0217406824009756,0.045397099165722,"CD8T_LOMGlow_1"
"RASA3",0.259787044216901,8.38065885672964,7.45125986771889,0.00959162906673128,0.022093236907758,"CD8T_LOMGlow_1"
"EIF3A",-0.259211951062917,7.79462728236339,10.9614549058327,0.00206131638732033,0.00576726087615204,"CD8T_LOMGlow_1"
"TAOK3",-0.255188558562978,7.7543015250717,8.76461647904703,0.00529518174739643,0.0132718978412308,"CD8T_LOMGlow_1"
"LENG8",0.25510573222978,7.10818011377564,6.03142851472676,0.0187927723838064,0.0398264173553837,"CD8T_LOMGlow_1"
"UQCRQ",-0.253096414454437,8.2278964051207,7.51063476390381,0.00933234996502349,0.0215277217482253,"CD8T_LOMGlow_1"
"WBP1",0.252147499631559,6.61415514122998,6.44593983366971,0.0153868894803446,0.0335168456089957,"CD8T_LOMGlow_1"
"UBE2L6",-0.250687038285622,7.56697529663386,5.54809075375767,0.0238256623743951,0.0493554118590119,"CD8T_LOMGlow_1"
"CSDE1",0.250029369465803,8.9203272148036,14.5770424652641,0.000488255114033245,0.00165644509802226,"CD8T_LOMGlow_1"
"CABIN1",0.249669210563371,7.19580321180126,6.02310509843127,0.018868995513869,0.0399338416558742,"CD8T_LOMGlow_1"
"LSM4",0.247783160608114,7.56536729090187,11.462504297537,0.00167524996197451,0.00480065732505109,"CD8T_LOMGlow_1"
"GTF2F1",0.247203025634844,7.1185255902348,8.24704087724582,0.00667243988007419,0.0161044690932655,"CD8T_LOMGlow_1"
"ERP29",0.247055938701436,9.11780669127514,16.4086838037517,0.000246192204294785,0.00091677287504058,"CD8T_LOMGlow_1"
"ZNF638",0.246622226048954,7.61497972148394,7.01956443406555,0.0117259112147779,0.0263875181869246,"CD8T_LOMGlow_1"
"UBB",-0.246495505104314,9.71896196176175,14.5631786272968,0.000490844665911869,0.00165805843949495,"CD8T_LOMGlow_1"
"PPIG",0.245571954788648,7.76233012034645,6.05456723732283,0.0185826175240381,0.0394519839037714,"CD8T_LOMGlow_1"
"DGKZ",-0.24433364472712,8.0145865362188,6.30953126364106,0.0164277440888568,0.0354386093172027,"CD8T_LOMGlow_1"
"PTBP3",-0.243830915691637,7.4501927001078,8.67159311300025,0.00551835248951331,0.0136561760974665,"CD8T_LOMGlow_1"
"FGD3",0.243512037345947,7.63585575850626,6.65904311956039,0.0139003860890675,0.0307499347147122,"CD8T_LOMGlow_1"
"CIRBP",0.242862674997253,9.60060941370991,7.76508099355165,0.00830334019227841,0.0194699011405149,"CD8T_LOMGlow_1"
"SMARCA2",0.242851872209341,8.05379722766583,10.2813460699211,0.00274362017527094,0.00734930739962999,"CD8T_LOMGlow_1"
"ARF5",-0.242471079197158,7.96505176266494,10.410427658886,0.00259764518151805,0.00701678249377241,"CD8T_LOMGlow_1"
"CCNI",0.241974581150439,9.80480768749614,12.6685102325914,0.00102790354214595,0.00311558360448887,"CD8T_LOMGlow_1"
"ZMYM2",0.241885875179335,6.90821631590015,7.3902575148696,0.0224479761984256,0.0467331970376095,"CD8T_LOMGlow_1"
"HNRNPA3",-0.241241060969795,8.91170129559602,13.5223466784286,0.000733698470879821,0.00235627188594669,"CD8T_LOMGlow_1"
"ENY2",-0.240883952397993,7.09989728353433,7.1889228247435,0.0108333360079621,0.0246214796211969,"CD8T_LOMGlow_1"
"PRDX2",0.240713973014165,8.33987164755247,8.67883057218457,0.00550063386642121,0.0136339007402263,"CD8T_LOMGlow_1"
"HNRNPH1",0.240502347601994,7.42371934953131,7.81114673352085,0.00813040464034057,0.0191505314118865,"CD8T_LOMGlow_1"
"SCAND1",-0.239227299324181,7.93666471536575,7.64229518737832,0.0087838323988981,0.0204737911652409,"CD8T_LOMGlow_1"
"PRKCH",-0.238687794306588,8.9549390757519,13.2170041548074,0.000827068008527566,0.00261849061809132,"CD8T_LOMGlow_1"
"KPNA4",-0.238675387567446,7.10036700697831,6.63639373243929,0.0140507730557875,0.0309512803651431,"CD8T_LOMGlow_1"
"PEBP1",0.238495172013272,8.48338421398376,7.33075610242108,0.0101419076020133,0.0232921343458866,"CD8T_LOMGlow_1"
"RBM8A",-0.238374455001773,8.05321962752883,8.20399492010589,0.00680311361457771,0.016394560390138,"CD8T_LOMGlow_1"
"CUL3",-0.238286189376366,7.23113188104055,5.94680047635187,0.0195835416497644,0.0412248250452793,"CD8T_LOMGlow_1"
"GPBP1",0.237027844197734,7.64727494519743,6.34116244532161,0.0161798004727367,0.0350002876063074,"CD8T_LOMGlow_1"
"MYCBP2",0.236791732302801,8.20414141650364,8.92529253880521,0.0049320942178737,0.012461704938214,"CD8T_LOMGlow_1"
"TMEM259",0.236212483629763,7.65093819568463,9.09590998807067,0.00457545523625691,0.011635791852855,"CD8T_LOMGlow_1"
"MBNL1",0.235653206907241,10.0687753792417,13.3466290895393,0.000785977270126677,0.00250871112342474,"CD8T_LOMGlow_1"
"PPP2CA",-0.235411424498665,7.32301789191323,6.90375843838674,0.0123815610847036,0.0276244815070991,"CD8T_LOMGlow_1"
"PRPF6",0.235376934433185,7.42867397576482,5.66652433443933,0.0224701816958327,0.0467331970376095,"CD8T_LOMGlow_1"
"NEDD8",-0.234462805346102,8.3440892540874,10.7576126079267,0.00224453512838787,0.00619127502786354,"CD8T_LOMGlow_1"
"AAK1",0.234378053334981,8.27987598721316,8.51811168155634,0.00590882519033848,0.0144849570496699,"CD8T_LOMGlow_1"
"ALDOA",-0.234121189669158,8.98164637167136,11.1516377246819,0.00190467137517093,0.00538681018221943,"CD8T_LOMGlow_1"
"CDC42",-0.233636467262362,9.15600761443866,10.4320383748564,0.00257402496796129,0.00696500873683642,"CD8T_LOMGlow_1"
"PDS5A",0.233087332662673,7.56954748469448,5.69535625440651,0.0221529964587619,0.0461963819486715,"CD8T_LOMGlow_1"
"PPM1B",0.231647263897591,6.76629178687721,7.94506463257003,0.00764920881668804,0.018126306953485,"CD8T_LOMGlow_1"
"STK17A",0.230690786892374,9.12893733505381,7.07176816064409,0.0114426419290586,0.0258616936084503,"CD8T_LOMGlow_1"
"LMAN2",-0.229452695031633,7.80635870627191,9.34001830113169,0.00411225379780039,0.0105956588793407,"CD8T_LOMGlow_1"
"PAFAH1B1",-0.229167392270791,7.51666391346495,7.54911996596401,0.00916831326711647,0.0212118963753996,"CD8T_LOMGlow_1"
"USP3",0.228930821167567,7.71796590257956,7.99970522261441,0.00746171400992976,0.0177357457622039,"CD8T_LOMGlow_1"
"PCNP",0.227833596068972,7.48964917741869,7.55958418900955,0.00912424773965284,0.0211412199478771,"CD8T_LOMGlow_1"
"ENSA",-0.227400543177521,7.86220144678849,7.19680265748246,0.0107936237813946,0.024572383688648,"CD8T_LOMGlow_1"
"TMBIM6",-0.226759326377333,9.07690657044246,7.59293365907332,0.00898531914845499,0.0208811874415804,"CD8T_LOMGlow_1"
"CIB1",-0.226382946825848,8.36823852015266,11.4694751370076,0.00167045519319695,0.00480065732505109,"CD8T_LOMGlow_1"
"CHCHD2",-0.225891160165196,9.48019247414935,11.8238713337557,0.00144491378045534,0.00421612901610475,"CD8T_LOMGlow_1"
"ZAP70",-0.225780998731336,8.67309459457987,8.27292245028083,0.00659516604242159,0.0159779389283413,"CD8T_LOMGlow_1"
"CD47",-0.225486647859258,8.0767604574184,8.49499795011493,0.00597014229639216,0.0145667746514155,"CD8T_LOMGlow_1"
"IKZF1",0.224167277858897,9.06470902770482,8.16392297397772,0.00692722154847173,0.0165660160578131,"CD8T_LOMGlow_1"
"SNRPB2",-0.22228942623743,7.36502989481408,7.18628304347223,0.0108466748459109,0.0246214796211969,"CD8T_LOMGlow_1"
"SIGIRR",-0.222163281895666,8.08298879921906,9.18126696093784,0.00440745641759489,0.0112819342669696,"CD8T_LOMGlow_1"
"SOD1",0.222117658155902,8.95859928637787,12.1713348148438,0.00125495330561079,0.00371732380677135,"CD8T_LOMGlow_1"
"KRTCAP2",-0.221413911089842,8.85406590915704,8.49613629965998,0.0059671065666011,0.0145667746514155,"CD8T_LOMGlow_1"
"HSPA8",0.220991952528855,10.8288017278817,6.45194375778038,0.0153427410208554,0.033467290037124,"CD8T_LOMGlow_1"
"PNRC1",0.220926375260563,10.8726529216707,8.35442243932593,0.00635802183449016,0.0154890126933686,"CD8T_LOMGlow_1"
"SNRPD2",0.219658109262261,10.0043810465555,9.95055677025172,0.0031590573569071,0.0082898753459777,"CD8T_LOMGlow_1"
"CD48",0.219580611156041,9.67906658428189,13.0104394306778,0.000897326364817325,0.00278456038606011,"CD8T_LOMGlow_1"
"RBM4",0.219525479777337,7.49810223940918,5.90280216758038,0.0200088098735985,0.0420615304332097,"CD8T_LOMGlow_1"
"SERBP1",0.217123087652949,8.65291713162825,12.2496317535476,0.00121592535183074,0.00361541302331421,"CD8T_LOMGlow_1"
"RAP1B",-0.217082658547032,9.23312008708389,8.60457982788889,0.00568533929238501,0.0140029459106932,"CD8T_LOMGlow_1"
"LAPTM5",0.216941525568164,10.1927929503574,10.8259443458263,0.0021812584582675,0.00607026375218926,"CD8T_LOMGlow_1"
"DDX18",0.216129179600197,8.05710082030589,6.47758745553126,0.0151557065071203,0.0331517831848059,"CD8T_LOMGlow_1"
"SEPTIN9",0.215347423194136,9.32575678101338,7.85501403998613,0.0079693041772184,0.0188277820742743,"CD8T_LOMGlow_1"
"YTHDC1",0.215108450566825,7.64130046490662,6.27465994654078,0.0167058425657009,0.0359393917094308,"CD8T_LOMGlow_1"
"ZNF207",-0.211099811428898,7.49684998604917,6.201929662967,0.0173023443458174,0.0370696802148745,"CD8T_LOMGlow_1"
"MPHOSPH8",0.207917023369231,8.4036293838696,8.16943352972499,0.00691001196298983,0.0165629357646929,"CD8T_LOMGlow_1"
"ERGIC3",0.207655234375671,7.56727359376368,6.1384445880536,0.0178418262705654,0.0380171884021311,"CD8T_LOMGlow_1"
"WDR83OS",-0.206702256129376,8.1675749597498,7.63512761998905,0.00881278638520692,0.0205107111703328,"CD8T_LOMGlow_1"
"UBE2B",0.205509387578698,7.82360584647709,7.72437270988146,0.00845944474642267,0.0197766391381242,"CD8T_LOMGlow_1"
"CD3E",0.205099807838675,11.2192482490095,13.5026774434874,0.000739362639609295,0.00236959665645274,"CD8T_LOMGlow_1"
"FXYD5",0.205045908477688,10.5181801832169,10.7964005982018,0.00220838061129003,0.00612394907102414,"CD8T_LOMGlow_1"
"PHB2",0.204781643828571,8.31581015250049,8.86097406684514,0.00507414159456591,0.0127793195714993,"CD8T_LOMGlow_1"
"ASH1L",0.204058224605969,7.73389858204133,6.34990556203378,0.0161119807546175,0.0349018530473985,"CD8T_LOMGlow_1"
"ARPC1B",-0.202803764804128,9.82101354066283,7.07428518002314,0.0114291710882418,0.0258616936084503,"CD8T_LOMGlow_1"
"CALM3",0.202203413357662,8.46223215698395,6.93739047720649,0.0121871818793308,0.0273076682797613,"CD8T_LOMGlow_1"
"ARPC3",-0.201731117288744,9.7338805589282,12.065558003796,0.00130980406328817,0.00386515765091076,"CD8T_LOMGlow_1"
"WASF2",0.201457337012487,7.74892784380425,5.76399915588788,0.0214171809276102,0.0447813783031849,"CD8T_LOMGlow_1"
"ANAPC11",-0.201117175208938,7.63518950935314,7.70174858061505,0.00854755857145957,0.0199528083668101,"CD8T_LOMGlow_1"
"CTDNEP1",-0.199569072753951,7.99603489154959,6.64000839829892,0.0140266554930751,0.0309417336969949,"CD8T_LOMGlow_1"
"ACAP1",0.199145463786935,8.60531481664644,7.23007059602724,0.0106276768457027,0.0242750790164389,"CD8T_LOMGlow_1"
"PAPOLA",0.198700320909732,7.9750784832023,8.94653548758573,0.00488611665420975,0.0123655120504596,"CD8T_LOMGlow_1"
"MZT2B",0.197699154720994,9.34443664047645,10.569628525087,0.002428900644027,0.00662966947165484,"CD8T_LOMGlow_1"
"NDUFB11",0.197449467642309,8.87390492755222,6.69915173423983,0.0136383067832308,0.0302129062450042,"CD8T_LOMGlow_1"
"HMGN1",0.196585610096913,8.99686787159122,7.24722429564955,0.0105431828579709,0.0241428081842847,"CD8T_LOMGlow_1"
"ADD3",0.196229486815602,8.49460257019735,8.49720103209006,0.00596426865071424,0.0145667746514155,"CD8T_LOMGlow_1"
"POLR2L",-0.196177754714162,8.80284163391193,8.03748980606069,0.00733493961200073,0.0174875694408066,"CD8T_LOMGlow_1"
"CNN2",0.195776225744131,9.27013795877825,5.96831252239136,0.0193791805587584,0.0409028858217248,"CD8T_LOMGlow_1"
"ACAP2",-0.19415375967099,7.91720259419126,7.4326690813875,0.00967439134933207,0.0222511001034638,"CD8T_LOMGlow_1"
"ITM2B",0.193965517809331,10.5649864194214,10.5705275008736,0.00242798158427302,0.00662966947165484,"CD8T_LOMGlow_1"
"DPP7",-0.193867156841182,7.90640882365121,6.84665752647492,0.0127192551662899,0.0282971765008213,"CD8T_LOMGlow_1"
"CCDC88C",-0.191909539101655,7.93225461049404,6.21305814950537,0.0172096035589703,0.0369215637396838,"CD8T_LOMGlow_1"
"UBL5",-0.189032354373226,9.11878512050138,8.75348029688889,0.00532138297302243,0.0133162287516913,"CD8T_LOMGlow_1"
"SF3B2",-0.185956137061219,8.47333296005704,6.90704507235324,0.0123624195913924,0.027621177487054,"CD8T_LOMGlow_1"
"TAX1BP1",-0.183209147170681,8.05566374327981,6.29606488736137,0.0165345420733189,0.0356198674967917,"CD8T_LOMGlow_1"
"MYL12A",-0.182201785023425,10.9176663925459,10.1962830871656,0.0028445720985229,0.00756617476545887,"CD8T_LOMGlow_1"
"GABARAPL2",-0.180975816455787,7.69632674377774,5.79156105626747,0.0211292121225144,0.0442977047715986,"CD8T_LOMGlow_1"
"SSR4",-0.179859528527448,9.17086273816246,6.32601973121731,0.0162979906542806,0.0352072615791366,"CD8T_LOMGlow_1"
"SRSF10",0.177641148636666,8.188502931839,6.14323599509451,0.0178004831200724,0.0379808398360071,"CD8T_LOMGlow_1"
"STK24",-0.173275918422928,7.53665632798154,6.99091626726268,0.0160053682892152,0.0348155716332859,"CD8T_LOMGlow_1"
"PARK7",-0.17175006050224,8.62514655595603,6.18491672159808,0.0174451680278795,0.0373245455480214,"CD8T_LOMGlow_1"
"SSR2",0.166028638161223,9.61046507904773,9.29397741916918,0.00419563324067893,0.0107749924276221,"CD8T_LOMGlow_1"
"HNRNPU",0.165276928773768,9.38049241092106,6.25784205958854,0.0168417762598593,0.0361820577890384,"CD8T_LOMGlow_1"
"PTPRC",-0.163495633473913,11.1029799715361,6.49290988918968,0.0150451244581975,0.0329559869084327,"CD8T_LOMGlow_1"
"PTMA",0.161037890613382,12.136355893905,9.54414973763295,0.00376329221169699,0.00974468380644717,"CD8T_LOMGlow_1"
"CSNK2B",-0.158078601727912,8.33244355780694,5.94670772968451,0.0195844277548865,0.0412248250452793,"CD8T_LOMGlow_1"
"EWSR1",-0.156687502311262,8.27911089172628,5.59729822385937,0.0232520145663628,0.0482950209585543,"CD8T_LOMGlow_1"
"H3-3A",-0.156420170019095,10.1920618866816,6.3588530923703,0.0160428926000848,0.0348487278146287,"CD8T_LOMGlow_1"
"ACTR2",-0.153144143271954,8.64059415605246,5.78743709578779,0.0211720317245699,0.0443280557124864,"CD8T_LOMGlow_1"
"TOMM6",0.1516859819989,8.50689640856994,7.2126860215853,0.010714050118403,0.0244267848180499,"CD8T_LOMGlow_1"
"CALM2",-0.136928985308408,9.14312499751007,6.64019604979721,0.0140254046729452,0.0309417336969949,"CD8T_LOMGlow_1"
"CD37",0.12955465556777,9.88558340166743,5.83020765135432,0.0207324620463766,0.043524255893333,"CD8T_LOMGlow_1"
"ARHGDIB",0.128488988551884,11.1862069846827,8.19742172423395,0.00682330746208949,0.0164179274933969,"CD8T_LOMGlow_1"
"SLC4A10",4.30649021240514,6.09727463008731,88.4979534582579,5.40497294541924e-10,1.12747735641445e-07,"CD8T_LOMGlow_2"
"CEBPD",3.94959115064445,6.52197574142695,79.799613945298,5.98443935284165e-09,1.04029504083564e-06,"CD8T_LOMGlow_2"
"KLRB1",3.50841294187596,9.48961860213189,117.950081943455,3.96158458795405e-10,1.03298318130902e-07,"CD8T_LOMGlow_2"
"CD8B1",-3.48955523422096,10.3214183377224,107.985705264568,2.90391085562961e-10,1.0095930074739e-07,"CD8T_LOMGlow_2"
"GZMH1",-3.45131710565869,9.3753351521679,13.1206152209428,0.0016268241046697,0.0204431029056686,"CD8T_LOMGlow_2"
"NCR3",2.70777784910964,7.43091694797433,65.8637675075907,4.77790832446027e-08,6.22919797801508e-06,"CD8T_LOMGlow_2"
"LGALS11",-2.60117469690428,8.50948480818505,11.958196852532,0.00232613602429784,0.0270735731600425,"CD8T_LOMGlow_2"
"SELL1",-2.16791808822091,9.42184407429857,24.5187078062152,6.04355875748349e-05,0.00233460436446492,"CD8T_LOMGlow_2"
"PHACTR2",2.16599103464205,7.62167341613592,109.899200067759,6.97410473723885e-11,5.17179381745223e-08,"CD8T_LOMGlow_2"
"COTL1",-2.09633501359055,9.14400775187396,24.979391319943,5.05019296443012e-05,0.00220562877923817,"CD8T_LOMGlow_2"
"ERN1",2.08259338150956,7.29308196028935,29.4263103313958,2.0256479797633e-05,0.00111197412783849,"CD8T_LOMGlow_2"
"H1-3",-1.87428953892157,8.38018273927946,10.3132125565322,0.0040728050673765,0.0412420940317834,"CD8T_LOMGlow_2"
"FOXP11",-1.77376002573801,8.87174268149069,24.3079825386498,5.28674204035994e-05,0.00220562877923817,"CD8T_LOMGlow_2"
"PRR5",1.71848825994733,7.45073605595917,54.7528399597472,7.97953961744521e-08,9.24739980110595e-06,"CD8T_LOMGlow_2"
"ITK1",-1.52192842019661,8.41612408980943,19.2879000240296,0.000183769243128301,0.00485216757007763,"CD8T_LOMGlow_2"
"AQP3",1.48322657524998,7.45440689351288,17.757257398428,0.000345267719162718,0.00721698351858608,"CD8T_LOMGlow_2"
"GZMK1",1.45595030147162,9.59401106291292,25.1534149292352,5.26433390358829e-05,0.00220562877923817,"CD8T_LOMGlow_2"
"GBP5",1.44951381169159,7.85352044536506,14.6990554647451,0.000902894908012197,0.0138488145449518,"CD8T_LOMGlow_2"
"HSPB11",-1.28574192553474,8.13451215686845,18.5395113498243,0.00019779930799664,0.00501528119414649,"CD8T_LOMGlow_2"
"KLRK1",-1.26841011142273,9.53436369479189,52.182989457056,9.30360724933744e-08,9.70366236105895e-06,"CD8T_LOMGlow_2"
"KLRG11",1.24264486918399,8.47518824013085,14.9615675790662,0.000816047962985576,0.013094431159907,"CD8T_LOMGlow_2"
"RGS101",-1.21028592218661,8.72410370786534,11.6176005271586,0.00238216860380671,0.0273033170744,"CD8T_LOMGlow_2"
"CD8A1",-1.20453194527534,10.0286054550814,33.6393658757703,4.26358823357804e-06,0.00029646150184146,"CD8T_LOMGlow_2"
"ALOX5AP1",1.19435591258155,7.93589576988353,23.0946268930244,5.85146504113951e-05,0.00233460436446492,"CD8T_LOMGlow_2"
"NFKBIA",1.19152937755711,9.66298573732404,11.4033568220416,0.00281701336421123,0.0312568610518331,"CD8T_LOMGlow_2"
"TMSB101",-1.18716457021842,12.7851215463688,103.856060531762,9.91715017728135e-11,5.17179381745223e-08,"CD8T_LOMGlow_2"
"DUSP21",1.18296550796445,9.52541554699575,12.0892429486467,0.00222449475534158,0.0264453445483515,"CD8T_LOMGlow_2"
"GSTP11",-1.17870848713356,8.52588338016682,18.1693271274349,0.000231434647117934,0.00524752906400011,"CD8T_LOMGlow_2"
"RORA1",1.1602465440987,8.38985864053061,49.7884849387927,1.41690837164047e-07,1.3434867560191e-05,"CD8T_LOMGlow_2"
"NAP1L41",-1.15244342325206,8.45807751956558,31.8634185680872,5.50515733745024e-06,0.000358867443935037,"CD8T_LOMGlow_2"
"TCF71",-1.12471492021322,9.61694977099263,16.5807930278683,0.000457023536345259,0.00851206336443045,"CD8T_LOMGlow_2"
"IL7R",1.10711804106035,11.1939943328877,26.4732950412643,3.09152799788463e-05,0.00157975636981621,"CD8T_LOMGlow_2"
"CBX3",-1.07245331172444,8.14959212266192,15.2629788490333,0.000569441782626211,0.0102401341255024,"CD8T_LOMGlow_2"
"SPOCK21",1.07218540238742,9.18567879299671,61.3640827832453,2.07551831091354e-08,3.09252228326117e-06,"CD8T_LOMGlow_2"
"PRDX61",-1.05236633683555,8.05692632855858,19.2789336087407,0.000157640960962178,0.00444377087252843,"CD8T_LOMGlow_2"
"XBP11",1.0485170754411,8.22135956134345,38.4601746817934,1.26982802820958e-06,0.000110369219451883,"CD8T_LOMGlow_2"
"DOCK8",-1.02387477375132,7.81061470156803,28.2485908587342,1.32559432848313e-05,0.000768108269226613,"CD8T_LOMGlow_2"
"CD69",0.987671183058647,9.7052501627048,9.73660868735973,0.00508013984150217,0.0477350076998808,"CD8T_LOMGlow_2"
"DOCK101",-0.987063464560338,8.36399143187772,14.1558018597305,0.000831354998239014,0.0131379282297468,"CD8T_LOMGlow_2"
"TGFBR21",-0.97074352201225,8.07980318500415,9.79349692683695,0.00427133162567314,0.0424285608150199,"CD8T_LOMGlow_2"
"ITGA41",-0.965064778157643,8.95284084057498,21.8946708796379,7.28393605562848e-05,0.00237410790813141,"CD8T_LOMGlow_2"
"PTPRA1",-0.958464634358614,7.57715731587837,10.2218925236116,0.00353631960952657,0.0368838135273621,"CD8T_LOMGlow_2"
"LDHB1",-0.957621127355164,10.2105232147189,14.8530883094426,0.000783704157513165,0.0129746577188291,"CD8T_LOMGlow_2"
"RASA21",-0.95731825952136,8.07294232161712,18.1632003706896,0.000222362948842479,0.00524752906400011,"CD8T_LOMGlow_2"
"BLOC1S11",-0.889069118141387,7.92127105007362,12.9655341811955,0.00126544441824758,0.017598113709763,"CD8T_LOMGlow_2"
"ARL4C1",0.877094145423442,9.63983218288122,33.6863872811617,3.61035709041382e-06,0.000268971603235829,"CD8T_LOMGlow_2"
"OSTC",0.870260256826235,7.54645751906521,30.3605045613275,7.87696041007209e-06,0.00048327468868854,"CD8T_LOMGlow_2"
"PARP81",0.867584598098228,9.07177919703236,18.7218360078203,0.000204911455261111,0.00501528119414649,"CD8T_LOMGlow_2"
"U2SURP1",-0.866667029447047,7.84484192086474,18.737141408249,0.000186085045832316,0.00485216757007763,"CD8T_LOMGlow_2"
"CKLF1",0.855119185899906,8.08770557295416,21.6945670300724,7.71471129269038e-05,0.00241109740196145,"CD8T_LOMGlow_2"
"ZFP36L1",0.826591826090667,8.62015217891372,23.9185604189369,4.13056584959049e-05,0.00195826371869222,"CD8T_LOMGlow_2"
"PRKCB1",-0.824814615053641,8.27039940336855,18.8767862909921,0.000178259754478413,0.00485216757007763,"CD8T_LOMGlow_2"
"CHMP4B",-0.818731361438298,7.31775120942822,10.3635542681234,0.00334610691027582,0.0352524192668452,"CD8T_LOMGlow_2"
"SLC38A1",-0.812786667865513,8.12931433105324,12.4953684060067,0.00149993584605814,0.019555413592983,"CD8T_LOMGlow_2"
"CSTB",-0.811294967943809,8.29541387968747,16.182271619859,0.000419449435122288,0.00807233282930576,"CD8T_LOMGlow_2"
"SCML4",-0.800104483001026,7.76987556124597,9.69899095675555,0.00434691985156229,0.0427720509922591,"CD8T_LOMGlow_2"
"ARPC5",-0.76745553697284,8.67493361432954,24.8809976772349,3.18071752311989e-05,0.00157975636981621,"CD8T_LOMGlow_2"
"ANAPC111",-0.765857752125963,7.58662506236718,13.9916715001472,0.000880196734061801,0.0137021670690516,"CD8T_LOMGlow_2"
"PPP1CC",-0.765031940087192,7.6766913604607,9.23736364244806,0.00523190683582825,0.0478673581558672,"CD8T_LOMGlow_2"
"RASGRP21",-0.761845698276152,8.21488596239836,9.99120208355741,0.00387166854846213,0.0395897087847647,"CD8T_LOMGlow_2"
"TMPO1",-0.748867031885087,7.7726115127581,9.43490403950469,0.00483128455089928,0.0462296310696142,"CD8T_LOMGlow_2"
"APBB1IP",-0.746887746690532,8.66557401583271,22.3820440626554,6.33940784382071e-05,0.00236142942182322,"CD8T_LOMGlow_2"
"MYCBP21",-0.746373407158062,8.09666320018868,16.1374586927798,0.000425674310270198,0.00807233282930576,"CD8T_LOMGlow_2"
"SERPINB1",-0.728005966916077,7.71989413278509,12.7042106260447,0.00141152240879545,0.0186356692705525,"CD8T_LOMGlow_2"
"HMGN2",-0.72587269816611,9.15359014921738,10.4872517815505,0.00328477948727717,0.0351096493997663,"CD8T_LOMGlow_2"
"RHOH1",-0.725818099825267,8.48222465183093,9.25099699308571,0.00520312784494243,0.0478673581558672,"CD8T_LOMGlow_2"
"S100A41",0.723811844931066,11.6721806207742,16.8634117541787,0.000363866306210186,0.00733363216188456,"CD8T_LOMGlow_2"
"PSIP11",-0.723392764711308,8.32115055192837,15.3935715016919,0.000544991942229211,0.00997239641658013,"CD8T_LOMGlow_2"
"REST",-0.691183040536432,7.70661872101429,11.4223527335606,0.00223124671165382,0.0264453445483515,"CD8T_LOMGlow_2"
"ARL6IP5",-0.666801190697942,9.17355190450143,21.9285162451984,7.21367282947561e-05,0.00237410790813141,"CD8T_LOMGlow_2"
"TC2N",0.660626199066971,8.35413409413573,16.3247671709234,0.000400299867937319,0.00787759928789857,"CD8T_LOMGlow_2"
"EML41",0.656949774712515,8.30929652782452,17.2522138806269,0.000296552810229897,0.00658094853339963,"CD8T_LOMGlow_2"
"TTC39C1",0.656224183350002,7.65680936709534,9.67257703339378,0.00439290464390066,0.0428205564821345,"CD8T_LOMGlow_2"
"WDR1",-0.64191435134197,8.46574310652774,16.8177103982104,0.000341000175875025,0.00721698351858608,"CD8T_LOMGlow_2"
"RASA31",-0.623423195352283,8.24231138535776,12.3629810551663,0.00157415911961867,0.0200225361190522,"CD8T_LOMGlow_2"
"FLI1",0.619516112160348,7.83620626592987,13.3531923304356,0.00110187458985872,0.0161866929186288,"CD8T_LOMGlow_2"
"EPB41",-0.618427119322285,8.30155324612777,11.0835688273922,0.00253634900688896,0.0287544784150564,"CD8T_LOMGlow_2"
"LIMD21",-0.615687845689373,9.89860235004362,16.7729464196692,0.000345972364265872,0.00721698351858608,"CD8T_LOMGlow_2"
